,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
166,横,66,西森　将司,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
167,横,57,青柳　昴樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
168,横,9,黒羽根　利規,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
169,ヤ,5,川端　慎吾,.316,4,19,19,6,0,0,0,0,0,0,0,0,.421,.316,.737,5.22,4.71
170,ヤ,41,雄平,.294,4,18,17,5,0,0,0,1,0,3,0,0,.412,.333,.745,5.35,4.91
171,ヤ,1,山田　哲人,.357,4,18,14,5,1,2,0,4,0,1,0,0,.643,.500,1.143,13.28,12.60
172,ヤ,42,坂口　智隆,.313,4,18,16,5,0,0,0,1,1,2,0,0,.313,.389,.701,5.46,5.33
173,ヤ,52,中村　悠平,.077,4,16,13,1,0,0,0,2,1,2,0,0,.077,.250,.327,0.54,0.95
174,ヤ,33,畠山　和洋,.286,4,16,14,4,0,2,0,1,1,2,0,1,.357,.375,.732,4.20,3.95
175,ヤ,50,上田　剛史,.083,4,12,12,1,0,1,1,0,0,1,0,0,.083,.083,.167,-1.04,-0.79
176,ヤ,2,大引　啓次,.444,3,11,9,4,0,1,0,2,0,1,0,0,.556,.545,1.101,14.56,13.18
177,ヤ,59,今浪　隆博,.125,4,8,8,1,0,0,0,0,0,0,0,0,.125,.125,.250,-0.72,-0.50
178,ヤ,24,荒木　貴裕,.333,2,6,6,2,0,3,0,0,0,1,0,0,.500,.333,.833,6.54,5.74
179,ヤ,10,森岡　良介,.000,3,3,2,0,0,1,0,0,0,1,0,0,.000,.000,.000,-1.50,1.62
180,ヤ,7,田中　浩康,.000,2,2,2,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
181,ヤ,0,比屋根　渉,.000,1,2,2,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
182,ヤ,91,鵜久森　淳志,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
183,ヤ,69,川上　竜平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
184,ヤ,56,奥村　展征,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
185,ヤ,46,谷内　亮太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
186,ヤ,51,藤井　亮太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187,ヤ,3,西浦　直亨,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188,ヤ,60,三輪　正義,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
189,ヤ,63,井野　卓,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
190,ヤ,49,渡邉　大樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
