,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
73,巨,60,大累　進,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,巨,64,鬼屋敷　正人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,巨,61,和田　恋,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,阪,1,鳥谷　敬,.281,143,646,551,155,6,42,9,89,1,77,2,8,.367,.380,.747,5.42,5.34
77,阪,5,ゴメス,.271,143,601,520,141,17,72,0,72,6,134,0,15,.423,.364,.787,5.42,5.37
78,阪,9,マートン,.276,140,583,544,150,9,59,0,31,3,77,0,21,.375,.316,.691,3.79,3.76
79,阪,8,福留　孝介,.281,140,569,495,139,20,76,1,65,1,75,1,15,.463,.361,.824,5.76,5.78
80,阪,4,上本　博紀,.253,108,452,375,95,4,31,19,44,4,69,29,1,.339,.338,.677,4.02,3.95
81,阪,49,今成　亮太,.283,93,304,269,76,1,16,1,24,2,78,8,1,.320,.345,.664,4.23,4.17
82,阪,0,大和,.225,123,293,249,56,0,12,5,12,4,35,28,2,.245,.272,.517,1.83,1.85
83,阪,7,西岡　剛,.262,50,196,172,45,2,14,1,22,1,21,0,5,.343,.347,.690,3.99,3.99
84,阪,40,鶴岡　一成,.229,70,179,153,35,1,15,0,15,0,43,10,2,.301,.296,.597,2.93,2.94
85,阪,25,江越　大賀,.214,56,176,168,36,5,16,2,6,2,64,0,0,.387,.250,.637,3.40,3.43
86,阪,32,新井　良太,.193,93,162,150,29,4,19,0,10,1,41,0,3,.327,.247,.574,2.39,2.55
87,阪,50,藤井　彰人,.172,71,159,134,23,0,3,0,21,0,20,4,4,.194,.284,.478,1.62,1.78
88,阪,51,伊藤　隼太,.252,63,150,135,34,2,12,0,11,0,31,1,0,.348,.302,.650,3.81,3.99
89,阪,44,梅野　隆太郎,.239,56,149,138,33,4,18,0,6,1,33,4,2,.406,.276,.682,3.44,3.40
90,阪,68,俊介,.245,112,126,102,25,0,2,3,9,2,20,13,2,.294,.319,.613,2.79,2.73
91,阪,99,狩野　恵輔,.274,66,93,84,23,3,13,1,4,4,12,0,3,.429,.333,.762,4.86,4.89
92,阪,3,関本　賢太郎,.262,55,54,42,11,0,10,1,8,3,10,0,1,.262,.407,.669,5.04,5.36
93,阪,00,柴田　講平,.190,20,49,42,8,0,2,0,3,1,15,3,0,.214,.261,.475,1.74,1.84
94,阪,35,坂　克彦,.175,87,46,40,7,0,2,1,3,1,13,2,0,.225,.250,.475,1.85,2.00
95,阪,58,荒木　郁也,.200,29,41,35,7,0,0,4,3,1,7,2,1,.200,.282,.482,2.26,2.36
96,阪,60,中谷　将大,.182,11,11,11,2,0,0,0,0,0,3,0,0,.182,.182,.364,0.34,0.51
97,阪,95,ペレス,.000,3,10,9,0,0,0,0,1,0,3,0,0,.000,.100,.100,-1.86,-1.47
98,阪,37,森越　祐人,.000,7,8,7,0,0,0,0,1,0,3,0,0,.000,.125,.125,-1.62,-1.20
99,阪,39,小宮山　慎二,.000,10,6,6,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.74,-2.48
100,阪,61,田上　健一,.000,9,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
101,阪,2,北條　史也,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
102,阪,57,岡崎　太一,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
103,阪,33,西田　直斗,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,阪,24,横田　慎太郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,阪,65,緒方　凌介,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,阪,36,一二三　慎太,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,阪,45,清水　誉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,阪,62,植田　海,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,阪,55,陽川　尚将,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,阪,52,小豆畑　眞也,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
